"clip.id"	"folder.file.id"	"start.time"	"url"
"ACP000g8at"	"TaiEast_11_loc60_20140702_EK000047"	0	"http://www.chimpandsee.org/subjects/570d0b7d3fc33c0001bf1f7a/570d0b7d3fc33c0001bf1f7a.mp4"
"ACP000g8b1"	"TaiEast_11_loc60_20140702_EK000047"	45	"http://www.chimpandsee.org/subjects/570d0b7d3fc33c0001bf1f82/570d0b7d3fc33c0001bf1f82.mp4"
"ACP000g8cl"	"TaiEast_11_loc60_20140702_EK000048"	0	"http://www.chimpandsee.org/subjects/570d0b813fc33c0001bf1fba/570d0b813fc33c0001bf1fba.mp4"
"ACP000g87f"	"TaiEast_11_loc60_20140702_EK000050"	0	"http://www.chimpandsee.org/subjects/570d0b753fc33c0001bf1f00/570d0b753fc33c0001bf1f00.mp4"
"ACP000g87h"	"TaiEast_11_loc60_20140702_EK000050"	15	"http://www.chimpandsee.org/subjects/570d0b753fc33c0001bf1f02/570d0b753fc33c0001bf1f02.mp4"
"ACP000g86i"	"TaiEast_11_loc60_20140702_EK000051"	15	"http://www.chimpandsee.org/subjects/570d0b733fc33c0001bf1edf/570d0b733fc33c0001bf1edf.mp4"
"ACP000g86k"	"TaiEast_11_loc60_20140702_EK000051"	30	"http://www.chimpandsee.org/subjects/570d0b733fc33c0001bf1ee1/570d0b733fc33c0001bf1ee1.mp4"
"ACP000g8d7"	"TaiEast_11_loc60_20140702_EK000055"	0	"http://www.chimpandsee.org/subjects/570d0b823fc33c0001bf1fd0/570d0b823fc33c0001bf1fd0.mp4"
"ACP000g8d9"	"TaiEast_11_loc60_20140702_EK000055"	15	"http://www.chimpandsee.org/subjects/570d0b823fc33c0001bf1fd2/570d0b823fc33c0001bf1fd2.mp4"
"ACP000g8db"	"TaiEast_11_loc60_20140702_EK000055"	30	"http://www.chimpandsee.org/subjects/570d0b823fc33c0001bf1fd4/570d0b823fc33c0001bf1fd4.mp4"
"ACP000g8bp"	"TaiEast_11_loc60_20140702_EK000056"	0	"http://www.chimpandsee.org/subjects/570d0b7f3fc33c0001bf1f9b/570d0b7f3fc33c0001bf1f9b.mp4"
"ACP000g879"	"TaiEast_11_loc60_20140702_EK000058"	0	"http://www.chimpandsee.org/subjects/570d0b753fc33c0001bf1efa/570d0b753fc33c0001bf1efa.mp4"
"ACP000g86v"	"TaiEast_11_loc60_20140702_EK000060"	0	"http://www.chimpandsee.org/subjects/570d0b743fc33c0001bf1eec/570d0b743fc33c0001bf1eec.mp4"
"ACP000g86z"	"TaiEast_11_loc60_20140702_EK000060"	30	"http://www.chimpandsee.org/subjects/570d0b743fc33c0001bf1ef0/570d0b743fc33c0001bf1ef0.mp4"
"ACP000g872"	"TaiEast_11_loc60_20140702_EK000060"	45	"http://www.chimpandsee.org/subjects/570d0b743fc33c0001bf1ef3/570d0b743fc33c0001bf1ef3.mp4"
"ACP000g8d6"	"TaiEast_11_loc60_20140702_EK000061"	15	"http://www.chimpandsee.org/subjects/570d0b823fc33c0001bf1fcf/570d0b823fc33c0001bf1fcf.mp4"
"ACP000g899"	"TaiEast_11_loc60_20140702_EK000062"	0	"http://www.chimpandsee.org/subjects/570d0b793fc33c0001bf1f42/570d0b793fc33c0001bf1f42.mp4"
"ACP000g88c"	"TaiEast_11_loc60_20140702_EK000064"	0	"http://www.chimpandsee.org/subjects/570d0b773fc33c0001bf1f21/570d0b773fc33c0001bf1f21.mp4"
"ACP000g938"	"TaiEast_11_loc60_20140804_EK000008"	0	"http://www.chimpandsee.org/subjects/570d0bb83fc33c0001bf2379/570d0bb83fc33c0001bf2379.mp4"
"ACP000g939"	"TaiEast_11_loc60_20140804_EK000008"	15	"http://www.chimpandsee.org/subjects/570d0bb83fc33c0001bf237a/570d0bb83fc33c0001bf237a.mp4"
"ACP000g9ms"	"TaiEast_11_loc60_20140804_EK000013"	0	"http://www.chimpandsee.org/subjects/570d0be03fc33c0001bf2639/570d0be03fc33c0001bf2639.mp4"
"ACP000g93b"	"TaiEast_11_loc60_20140804_EK000018"	0	"http://www.chimpandsee.org/subjects/570d0bb83fc33c0001bf237c/570d0bb83fc33c0001bf237c.mp4"
"ACP000g93d"	"TaiEast_11_loc60_20140804_EK000018"	15	"http://www.chimpandsee.org/subjects/570d0bb83fc33c0001bf237e/570d0bb83fc33c0001bf237e.mp4"
"ACP000g9a4"	"TaiEast_11_loc60_20140804_EK000020"	0	"http://www.chimpandsee.org/subjects/570d0bc63fc33c0001bf2471/570d0bc63fc33c0001bf2471.mp4"
"ACP000g9nk"	"TaiEast_11_loc60_20140804_EK000021"	0	"http://www.chimpandsee.org/subjects/570d0be13fc33c0001bf2655/570d0be13fc33c0001bf2655.mp4"
"ACP000g9nl"	"TaiEast_11_loc60_20140804_EK000021"	15	"http://www.chimpandsee.org/subjects/570d0be13fc33c0001bf2656/570d0be13fc33c0001bf2656.mp4"
"ACP000g9ps"	"TaiEast_11_loc60_20140804_EK000022"	0	"http://www.chimpandsee.org/subjects/570d0be73fc33c0001bf26a5/570d0be73fc33c0001bf26a5.mp4"
"ACP000g9pt"	"TaiEast_11_loc60_20140804_EK000022"	15	"http://www.chimpandsee.org/subjects/570d0be73fc33c0001bf26a6/570d0be73fc33c0001bf26a6.mp4"
"ACP000g9pv"	"TaiEast_11_loc60_20140804_EK000022"	45	"http://www.chimpandsee.org/subjects/570d0be73fc33c0001bf26a8/570d0be73fc33c0001bf26a8.mp4"
"ACP000g9br"	"TaiEast_11_loc60_20140804_EK000023"	0	"http://www.chimpandsee.org/subjects/570d0bc93fc33c0001bf24ac/570d0bc93fc33c0001bf24ac.mp4"
"ACP000g9bt"	"TaiEast_11_loc60_20140804_EK000023"	15	"http://www.chimpandsee.org/subjects/570d0bc93fc33c0001bf24ae/570d0bc93fc33c0001bf24ae.mp4"
